,molecule_chembl_id,IC50,units,smiles,pIC50
67,CHEMBL3675525,0.17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,9.769551078621726
68,CHEMBL3675403,0.17,nM,CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,9.769551078621726
69,CHEMBL3930205,0.17,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(C(F)(F)F)c2)CC1,9.769551078621726
70,CHEMBL3685243,0.17,nM,Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.769551078621726
71,CHEMBL3685252,0.17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(Cl)c4)c3)ncnc12,9.769551078621726
72,CHEMBL4451940,0.18,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc(F)c(Nc4ccccc4Cl)n3)cc2)CC(C)(C)N1[O],9.744727494896694
73,CHEMBL3675480,0.18,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,9.744727494896694
74,CHEMBL3680428,0.18,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2F)c1,9.744727494896694
75,CHEMBL3685255,0.18,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,9.744727494896694
76,CHEMBL3675324,0.18,nM,NC(=O)c1cc(OCCCN2CCCCC2)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,9.744727494896694
77,CHEMBL3889916,0.18,nM,Cc1cc(Nc2cc[nH]n2)nc(C[C@]2(c3n[nH]c(=O)o3)CC[C@H](Oc3cccc(Cl)c3F)CC2)n1.O=C(O)C(F)(F)F,9.744727494896694
78,CHEMBL3685308,0.18,nM,NC(=O)C1=c2ncnc(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)cc4)c3)c2=CCC1,9.744727494896694
79,CHEMBL3685284,0.18,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)c(F)c2)c1,9.744727494896694
80,CHEMBL3680547,0.18,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(F)F)c1,9.744727494896694
81,CHEMBL3680548,0.19,nM,NC(=O)c1cccc2c(NCc3cccc(Nc4nccs4)c3)ncnc12,9.721246399047171
82,CHEMBL3914249,0.19,nM,O=c1[nH]nc([C@]2(Cc3cncc(Nc4cc[nH]n4)n3)CC[C@@H](Oc3cccc(Cl)c3F)CC2)o1,9.721246399047171
83,CHEMBL4455202,0.19,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc(Cl)c(Nc4ccccc4Cl)n3)cc2)CC(C)(C)N1[O],9.721246399047171
84,CHEMBL3958845,0.19,nM,O=C(O)C(F)(F)F.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H]([S+]([O-])c2cccc(Cl)c2Cl)CC1,9.721246399047171
85,CHEMBL3680549,0.19,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cn[nH]c4N)c3)ncnc12,9.721246399047171
86,CHEMBL3675500,0.2,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)F)n[nH]2)c1,9.698970004336019
87,CHEMBL3675491,0.2,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Cl)c(F)c2)c1,9.698970004336019
88,CHEMBL3685246,0.2,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(CCCCO)cc34)c2)cc1,9.698970004336019
89,CHEMBL3680429,0.2,nM,COc1ccc(C(O)/N=C2\C=CCC(CNc3ncnc4c(C(N)=O)cccc34)C2)cc1C,9.698970004336019
90,CHEMBL3675538,0.2,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(F)c2)c1,9.698970004336019
91,CHEMBL2170419,0.2,nM,O=C(O)c1ccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)cc1,9.698970004336019
92,CHEMBL3675474,0.21,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)c(F)c2)c1,9.67778070526608
93,CHEMBL3680550,0.21,nM,COCC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,9.67778070526608
94,CHEMBL3675483,0.21,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)nc2)c1,9.67778070526608
95,CHEMBL3680455,0.22,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc(C(F)(F)F)n[nH]4)c3)ncnc12,9.657577319177793
96,CHEMBL3680552,0.22,nM,N#Cc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.657577319177793
97,CHEMBL3680495,0.22,nM,CC(C)CNc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccn1,9.657577319177793
98,CHEMBL3685309,0.22,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccccc4C(F)(F)F)c3)ncnc12,9.657577319177793
99,CHEMBL3685242,0.22,nM,CN(C)c1cccc(C(=O)Nc2cccc(CNc3ncnc4c3=CCCC=4C(N)=O)c2)c1,9.657577319177793
100,CHEMBL3685287,0.22,nM,NC(=O)c1cccc2c(NCc3ccc(F)c(NC(=O)c4ccc(OC(F)(F)F)cc4)c3)ncnc12,9.657577319177793
101,CHEMBL3675463,0.22,nM,COc1cc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)ccn1,9.657577319177793
102,CHEMBL3680553,0.22,nM,COc1ccc(C(O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2F)cc1,9.657577319177793
103,CHEMBL3680551,0.22,nM,NCc1cnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)s1,9.657577319177793
104,CHEMBL3685277,0.23,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc(C5CC5)n[nH]4)c3)ncnc12,9.638272163982407
105,CHEMBL3951876,0.23,nM,Fc1c(O[C@H]2CC[C@](Cc3cccc(Nc4cc[nH]n4)n3)(c3n[nH]c(=S)o3)CC2)cccc1C(F)(F)F.O=C(O)C(F)(F)F,9.638272163982407
106,CHEMBL3680417,0.23,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)CCO5)c3)ncnc12,9.638272163982407
107,CHEMBL3680489,0.23,nM,CCOC(=O)c1ccc(C(=O)NC2=CCCC([C@H](C)Nc3ncnc4c(C(N)=O)cccc34)=C2)cn1,9.638272163982407
108,CHEMBL3675419,0.24,nM,CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,9.619788758288394
109,CHEMBL3680554,0.24,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4[nH]nc5c4CCCC5)c3)ncnc12,9.619788758288394
110,CHEMBL3685233,0.25,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(-n3cccc3)cc2)c1,9.602059991327963
111,CHEMBL3680416,0.25,nM,COc1ncc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.602059991327963
112,CHEMBL3675417,0.25,nM,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,9.602059991327963
113,CHEMBL3680446,0.25,nM,COc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1F,9.602059991327963
114,CHEMBL3675432,0.25,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,9.602059991327963
115,CHEMBL3685271,0.25,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(F)cc34)c2)cc1,9.602059991327963
116,CHEMBL3680555,0.26,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc5cc[nH]c45)c3)ncnc12,9.585026652029182
117,CHEMBL3685310,0.26,nM,COc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cc(C#N)cc34)c2)cc1F,9.585026652029182
118,CHEMBL3675466,0.26,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2=CCC(Br)C=C2)c1,9.585026652029182
119,CHEMBL3675401,0.26,nM,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,9.585026652029182
120,CHEMBL3675455,0.27,nM,Cc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1C,9.568636235841012
121,CHEMBL3675406,0.27,nM,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccnc(N3CCCC3)c2)c1,9.568636235841012
122,CHEMBL1213152,0.27,nM,COc1ccc(Nc2nc(Nc3ccc4ncccc4c3)nc(NC(Cc3c[nH]c4ncccc34)C(N)=O)n2)cc1OC,9.568636235841012
123,CHEMBL3680403,0.29,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(Cl)c4)c3)ncnc12,9.537602002101044
124,CHEMBL3670467,0.29,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.537602002101044
125,CHEMBL3680556,0.29,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(-c5ncc[nH]5)cc4)c3)ncnc12,9.537602002101044
126,CHEMBL2380834,0.3,nM,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(F)cc1C(F)(F)F,9.522878745280337
127,CHEMBL3685292,0.3,nM,COc1ccc(C(=O)Nc2cccc(C(C)NC3=NC=NC4C(C(N)=O)=CC(Cl)C=C34)c2)cc1F,9.522878745280337
128,CHEMBL3680557,0.3,nM,Cc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccc1N1CCOCC1,9.522878745280337
129,CHEMBL3680430,0.3,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C3CC3)n[nH]2)c1,9.522878745280337
130,CHEMBL3639743,0.3,nM,Cc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.522878745280337
