,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
163,CHEMBL3670472,2.1,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)Cc4ccccc4)c3)ncnc12,8.67778070526608,411.16952491200004,5,3,3.522000000000002,True
164,CHEMBL3670465,2.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)N4CCCCC4)c3)ncnc12,8.657577319177793,404.19607400800004,5,3,3.358600000000002,True
165,CHEMBL2392111,2.2,nM,CS(=O)(=O)c1nc(Cl)cc(Nc2c[nH]nc2-c2nc3cc(CN4CCOCC4)ccc3[nH]2)n1,8.657577319177793,488.1145852120001,9,3,2.3757,True
166,CHEMBL3680557,2.2,nM,Cc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccc1N1CCOCC1,8.657577319177793,496.222288756,7,3,3.738120000000003,True
167,CHEMBL3680395,2.2,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,8.657577319177793,552.209673384,7,3,4.984500000000003,True
168,CHEMBL2392112,2.3,nM,Cc1ccc2[nH]c(-c3n[nH]cc3Nc3cc(Cl)nc(S(C)(=O)=O)n3)nc2c1,8.638272163982407,403.06182136800004,7,3,2.8519200000000007,True
169,CHEMBL3680436,2.3,nM,COc1cc(C(=O)NC2=CCCC(C(C)Nc3ncnc4c(C(N)=O)cccc34)=C2)ccn1,8.638272163982407,444.190988628,7,3,2.966800000000001,True
170,CHEMBL2347053,2.3,nM,O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1[N+](=O)[O-],8.638272163982407,332.09094024399997,4,2,3.4776000000000016,True
171,CHEMBL3329672,2.3,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)O)c2C)c(F)c1,8.638272163982407,492.14451261199997,5,5,3.9320400000000015,True
172,CHEMBL3680464,2.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(N5CCCCC5)c4)c3)ncnc12,8.638272163982407,481.2226231040001,7,3,3.9784000000000033,True
173,CHEMBL3680582,2.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCOCC5)c(C(F)(F)F)c4)c3)ncnc12,8.638272163982407,550.19402332,7,3,4.448500000000004,True
174,CHEMBL3685240,2.3,nM,Cc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,8.638272163982407,401.1600228480001,6,4,2.62462,True
175,CHEMBL3680391,2.3,nM,COc1ccc(C(=O)NC2=CC(C(CCN(C)C)Nc3ncnc4c(C(N)=O)cccc34)=CCC2)c(F)c1,8.638272163982407,518.244167072,7,3,3.6427000000000014,True
176,CHEMBL3680388,2.4,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,8.619788758288394,411.16952491200004,5,3,4.154100000000002,True
177,CHEMBL3675442,2.4,nM,CN(C)C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,8.619788758288394,335.174610292,5,2,2.4434999999999993,True
178,CHEMBL3685261,2.4,nM,N#Cc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.619788758288394,422.149123816,6,3,3.464780000000001,True
179,CHEMBL3680597,2.5,nM,NC(=O)c1cccc2c(NCc3cccc(Nc4nc5ccccc5s4)c3)ncnc12,8.602059991327963,426.1262801960001,7,3,4.694100000000002,True
180,CHEMBL3680531,2.5,nM,NC(=O)C1=c2ncnc(NC(CCN3CCCC3)c3cccc(NC(=O)c4ccccc4)c3)c2=CCC1,8.602059991327963,496.258674264,6,3,2.5782999999999996,True
181,CHEMBL3675504,2.5,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)C1=CCCC(NC(=O)c2cccc(F)c2F)=C1,8.602059991327963,506.224180576,6,3,3.773200000000002,True
182,CHEMBL3670424,2.5,nM,COc1ccccc1NC(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,8.602059991327963,442.175338564,6,4,3.993400000000001,True
184,CHEMBL458421,2.6,nM,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)Nc1c(F)cccc1F,8.585026652029182,453.1724793520001,5,4,3.7074000000000016,True
185,CHEMBL3639693,2.6,nM,CN(C)c1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccn1,8.585026652029182,441.19132297600004,7,3,3.054100000000001,True
187,CHEMBL3685265,2.7,nM,COc1ccc(C(=O)Nc2ccc(F)c(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.568636235841012,445.15501772,6,3,3.740800000000001,True
188,CHEMBL3685244,2.7,nM,COCCOc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(OC)cc4)c3)c2c1,8.568636235841012,501.20121896399996,8,3,3.626900000000002,True
189,CHEMBL4443086,2.8,nM,CCCCOC(=O)Cc1cc(Nc2nc(Nc3ccc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)cc3)ncc2F)n[nH]1,8.55284196865778,581.3000049159999,9,4,4.8087000000000035,True
190,CHEMBL3685288,2.8,nM,COc1ccc(C(=O)Nc2cccc(C(CCN3CCCC3)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.55284196865778,524.2535888840001,7,3,4.628700000000003,True
191,CHEMBL3670487,2.9,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(Cl)n4)c3)ncnc12,8.537602002101044,432.11015146400007,6,3,3.6415000000000015,True
192,CHEMBL3322595,2.9,nM,Cc1[nH]c(/C=C2\C(=O)Nc3cc(NC(=O)c4c[nH]cc(-c5ccc(F)cc5)c4=O)ccc32)c(C)c1C(=O)N1CCOCC1,8.537602002101044,581.207447216,5,4,4.343340000000003,True
193,CHEMBL4799497,2.981,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5ccccc5F)c4)ncnc3c2)cn1,8.52563802396737,453.1713364800001,6,3,5.557000000000003,True
194,CHEMBL2063444,3.0,nM,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(Cl)cc4)c3)c12,8.522878745280337,435.109817116,5,4,4.637400000000002,True
196,CHEMBL2163394,3.0,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](C(=O)NC5CCCC5)C4)cc3)nn3cccc23)n[nH]1,8.522878745280337,559.2477922960001,9,4,3.974820000000002,True
197,CHEMBL2012409,3.0,nM,Cn1cc(Nc2ncc3cnn([C@@H]4C[C@H]5C[C@H]5C4)c3n2)cc1C(=O)N1CCC[C@H]1CO,8.522878745280337,421.222623104,8,2,2.4763000000000006,True
198,CHEMBL1099010,3.0,nM,O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCO)cc2-c2ccnc3[nH]ccc23)cc1,8.522878745280337,438.18042394400004,5,4,4.729700000000002,True
199,CHEMBL3393488,3.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CNC1)C2c1ccc(Sc2nc3c(F)cccc3[nH]2)o1,8.522878745280337,493.12200334000005,8,4,3.934800000000002,True
200,CHEMBL3329671,3.0,nM,COc1ccc(C(=O)NC(=O)Nc2cc3c(cc2F)/C(=C/c2[nH]c(C)c(CCC(=O)O)c2C)C(=O)N3)cc1,8.522878745280337,520.17581274,5,5,4.251040000000002,True
201,CHEMBL3329674,3.0,nM,COc1ccc(C(=O)NC(=O)Nc2cc3c(cc2F)/C(=C/c2[nH]c(C)c(C(=O)O)c2C)C(=O)N3)c(F)c1,8.522878745280337,510.1350908,5,5,4.0711400000000015,True
202,CHEMBL3699142,3.0,nM,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,8.522878745280337,464.221226136,4,3,4.168300000000004,True
