,Nome,SMILES,SMILES_Canonic
8846,NUBBE_1293 # 6-deacetylnimbinene,O[C@H]1[C@H]2O[C@H]3C(=C([C@@H](C3)c3cocc3)C)[C@@]2(C)[C@@H]([C@@]2([C@H]1C(=CCC2=O)C)C)CC(=O)OC,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@H](O)[C@@H]2C(C)=CCC(=O)[C@]12C
8847,NUBBE_1294 # nimbolin,c1ccc(cc1)/C=C/C(=O)O[C@H]1[C@]2(C3=CC[C@H]([C@]3(C)CC[C@H]2[C@@]2([C@@H]3[C@H]1OC[C@@]3(C)[C@@H](C[C@@H]2OC(=O)C)OC(=O)C)C)c1cocc1)C,CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@]2(C)CO[C@H]3[C@@H](OC(=O)/C=C/c4ccccc4)[C@@]4(C)C5=CC[C@@H](c6ccoc6)[C@]5(C)CC[C@H]4[C@]1(C)[C@H]32
8848,NUBBE_1295 #,C=C(CC[C@H]([C@H]1[C@@]2(C)CC[C@@]34[C@@H]([C@]2(CC1)C)CC[C@H]1[C@@]3(C4)CC[C@@H](C1(C)C)OC(=O)CCCCCCCCCCCCCCC)C)C(C)C,C=C(CC[C@@H](C)[C@@H]1CC[C@]2(C)[C@H]3CC[C@@H]4C(C)(C)[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC[C@]45C[C@]35CC[C@]12C)C(C)C
8849,NUBBE_1296 # α-tocopherol,Oc1c(c(c2c(c1C)CC[C@@](O2)(C)CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C)C,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
8850,NUBBE_1297 # N-methylproline,OC(=O)[C@H]1N(C)CCC1,CN1CCC[C@H]1C(=O)O
8851,NUBBE_1298 # 4-hydroxy-N-methylproline,OC(=O)[C@H]1N(C)C[C@@H](C1)O,CN1C[C@H](O)C[C@H]1C(=O)O
8852,NUBBE_1299 # almeine,C=C([C@H]1OC2=C(C1)C(=O)N(c1c2cccc1)C)C,C=C(C)[C@@H]1Cc2c(c3ccccc3n(C)c2=O)O1
8853,"NUBBE_129 # Pedalin, pedalitin 6-O-β -glucopyranoside",Oc1c(O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)c(OC)cc2c1C(=O)C=C(O2)c1ccc(c(c1)O)O,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
8854,"NUBBE_12 # Rel-(7S,7S,8R,8R)-sesamin; (+)-sesamin",c1c2OCOc2cc(c1)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2
8855,"NUBBE_1300 # 2'-hydroxy-3,4,4',5,6'-pentamethoxychalcone",Oc1c(c(OC)cc(c1)OC)C(=O)/C=C/c1cc(OC)c(c(c1)OC)OC,COc1cc(O)c(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c(OC)c1
