,molecule_chembl_id,IC50,units,smiles,pIC50
98,CHEMBL402818,26.0,nM,Cc1c(Nc2c(C#N)cnc3sc(-c4cccc(CN(C)C)c4)cc23)ccc2[nH]ccc12,7.585026652029182
99,CHEMBL606245,26.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,7.585026652029182
100,CHEMBL593162,27.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCCN2CCNCC2)ccc2[nH]ccc12,7.568636235841012
101,CHEMBL480223,27.0,nM,COc1c(CN(C)C)cccc1-c1cc2c(Nc3ccc4[nH]ccc4c3C)c(C#N)cnc2s1,7.568636235841012
102,CHEMBL2153747,27.0,nM,CN1CCN(c2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,7.568636235841012
103,CHEMBL388978,28.0,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.552841968657781
104,CHEMBL494412,28.0,nM,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCCC3)cc2)ccc2[nH]ccc12,7.552841968657781
105,CHEMBL606146,28.0,nM,CNC1CCN(CC/C=C/c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2C)CC1,7.552841968657781
106,CHEMBL522344,29.0,nM,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCN(CCO)CC3)cc2)ccc2[nH]ccc12,7.537602002101044
107,CHEMBL1084411,29.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCN(C)CC3)n2)ccc2[nH]ccc12,7.537602002101044
108,CHEMBL595955,29.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@H](N)C2)ccc2[nH]ccc12,7.537602002101044
109,CHEMBL294166,30.0,nM,CS(=O)(=O)Nc1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CCC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,7.522878745280337
110,CHEMBL177308,30.0,nM,O=C(N[C@@H]1c2ccccc2CC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.522878745280337
111,CHEMBL151822,30.0,nM,O=C(OC[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccccc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,7.522878745280337
112,CHEMBL493999,30.0,nM,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCC(N4CCCC4)CC3)cc2)ccc2[nH]ccc12,7.522878745280337
113,CHEMBL148745,30.0,nM,CC(CCc1ccc(O)cc1)OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,7.522878745280337
114,CHEMBL433101,30.0,nM,C[C@@]1(OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)CCCNC[C@H]1NC(=O)c1ccc(O)cc1,7.522878745280337
115,CHEMBL359486,31.0,nM,CN(C)CCCn1nc(C2=C(c3cn(-c4cnc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,7.508638306165727
116,CHEMBL1214932,31.0,nM,c1cc(-c2cc3cnccc3c(N3CCNCC3)n2)ccn1,7.508638306165727
117,CHEMBL7463,32.0,nM,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,7.494850021680094
118,CHEMBL4858601,32.0,nM,CC(C)(F)c1ncncc1CNc1cc(N[C@H]2CC[C@@H](O)CC2)c(C#N)cn1,7.494850021680094
119,CHEMBL60254,32.0,nM,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.494850021680094
120,CHEMBL311399,32.0,nM,O=C(N[C@@H]1CNCCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.494850021680094
121,CHEMBL307747,32.0,nM,O=C(N[C@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.494850021680094
122,CHEMBL596398,33.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC(CN)CC2)ccc2[nH]ccc12,7.481486060122112
123,CHEMBL1095368,34.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCC(N(C)C)CC3)c2)ccc2[nH]ccc12,7.468521082957745
124,CHEMBL567952,34.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccccc2OCCN2CCN(C)CC2)ccc2[nH]ccc12,7.468521082957745
125,CHEMBL306623,35.0,nM,CS(=O)(=O)C1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,7.455931955649724
126,CHEMBL568547,36.0,nM,Cc1c(Nc2c(C#N)cncc2-c2coc(CN3CCN(C)CC3)c2)ccc2[nH]ccc12,7.443697499232712
127,CHEMBL1090055,36.0,nM,COCCNCc1ccc(/C=C/c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2C)nc1,7.443697499232712
128,CHEMBL467321,37.0,nM,CN1CCN(CCOc2cccc(-c3cncc(C#N)c3Nc3cccc4[nH]ccc34)c2)CC1,7.431798275933005
129,CHEMBL4101316,39.0,nM,COCCNCc1ccc2ccc(Cl)c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c2c1,7.4089353929735005
130,CHEMBL76920,40.0,nM,CC(C)C1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,7.3979400086720375
